iteration,id,x,y,radius,dx,dy
5,13,8.37922,19.5144,0.99,0.563203,1.91906
5,14,31.1633,29.1065,1.15,-6.41577,-3.17024
5,15,29.9193,50.4882,0.99,1.98655,2.24803
5,16,36.775,60.1296,0.11,-3.78859,5.86113
5,17,11.377,53.7279,0.27,0.896167,1.78798
5,18,62.3472,33.5346,1.28,2.72453,1.25576
5,19,41.4618,52.8789,0.81,4.92262,-7.61553
6,0,47.5383,41.8461,0.44,2.36262,4.40659
6,1,72.7837,59.66,1.07,8.39767,3.23715
6,2,55.632,51.156,1.05,6.09028,3.45086
6,3,17.1321,82.9639,1.43,0.304587,8.99484
6,4,50.7928,73.3942,0.68,0.82755,3.91346
6,5,58.1609,79.9847,1.34,5.45156,5.85495
6,6,89.2307,20.002,1.01,5.8901,1.14314
6,7,7.46095,51.6937,1.47,0.922993,0.384817
6,8,50.2785,35.0415,0.74,3.61122,1.72021
6,9,38.5322,46.4187,0.36,0.131984,-0.901383
6,10,83.534,59.3282,0.22,6.07629,3.47545
6,11,48.3242,37.5862,0.26,0.140114,0.0692349
6,12,62.7268,23.5243,1.32,7.96098,0.789192
6,13,8.94242,21.4334,0.99,0.563203,1.91906
6,14,24.7475,25.9362,1.15,-6.41577,-3.17024
6,15,31.9058,52.7362,0.99,1.98655,2.24803
6,16,32.9864,65.9907,0.11,-3.78859,5.86113
6,17,12.2732,55.5159,0.27,0.896167,1.78798
6,18,65.0717,34.7903,1.28,2.72453,1.25576
6,19,46.3844,45.2633,0.81,4.92262,-7.61553
7,0,49.9009,46.2527,0.44,2.36262,4.40659
7,1,81.1814,62.8972,1.07,8.39767,3.23715
7,2,61.7223,54.6069,1.05,6.09028,3.45086
7,3,17.4367,91.9587,1.43,0.304587,8.99484
7,4,51.6204,77.3077,0.68,0.82755,3.91346
7,5,63.6125,85.8396,1.34,5.45156,5.85495
7,6,95.1208,21.1451,1.01,5.8901,1.14314
7,7,8.38394,52.0785,1.47,0.922993,0.384817
7,8,53.8897,36.7617,0.74,3.61122,1.72021
7,9,38.6642,45.5173,0.36,0.131984,-0.901383
7,10,89.6103,62.8036,0.22,6.07629,3.47545
7,11,48.4643,37.6554,0.26,0.140114,0.0692349
7,12,70.6878,24.3135,1.32,7.96098,0.789192
7,13,9.50563,23.3525,0.99,0.563203,1.91906
7,14,18.3318,22.766,1.15,-6.41577,-3.17024
7,15,33.8924,54.9842,0.99,1.98655,2.24803
7,16,29.1978,71.8519,0.11,-3.78859,5.86113
7,17,13.1693,57.3039,0.27,0.896167,1.78798
7,18,67.7962,36.0461,1.28,2.72453,1.25576
7,19,51.307,37.6478,0.81,4.92262,-7.61553
8,0,52.2636,50.6593,0.44,2.36262,4.40659
8,1,89.579,66.1343,1.07,8.39767,3.23715
8,2,67.8125,58.0578,1.05,6.09028,3.45086
8,3,17.7413,100.954,1.43,0.304587,8.99484
8,4,52.4479,81.2211,0.68,0.82755,3.91346
8,5,69.064,91.6946,1.34,5.45156,5.85495
8,6,101.011,22.2883,1.01,5.8901,1.14314
8,7,9.30694,52.4633,1.47,0.922993,0.384817
8,8,57.501,38.4819,0.74,3.61122,1.72021
8,9,38.7962,44.616,0.36,0.131984,-0.901383
8,10,95.6866,66.2791,0.22,6.07629,3.47545
8,11,48.6044,37.7247,0.26,0.140114,0.0692349
8,12,78.6488,25.1027,1.32,7.96098,0.789192
8,13,10.0688,25.2716,0.99,0.563203,1.91906
8,14,11.916,19.5958,1.15,-6.41577,-3.17024
8,15,35.8789,57.2323,0.99,1.98655,2.24803
8,16,25.4092,77.713,0.11,-3.78859,5.86113
8,17,14.0655,59.0918,0.27,0.896167,1.78798
8,18,70.5208,37.3019,1.28,2.72453,1.25576
8,19,56.2297,30.0323,0.81,4.92262,-7.61553
9,0,54.6262,55.0659,0.44,2.36262,4.40659
9,1,97.9767,69.3715,1.07,8.39767,3.23715
9,2,73.9028,61.5086,1.05,6.09028,3.45086
9,3,18.0459,109.948,1.43,0.304587,8.99484
9,4,53.2755,85.1346,0.68,0.82755,3.91346
9,5,74.5156,97.5495,1.34,5.45156,5.85495
9,6,106.901,23.4314,1.01,5.8901,1.14314
9,7,10.2299,52.8482,1.47,0.922993,0.384817
9,8,61.1122,40.2021,0.74,3.61122,1.72021
9,9,38.9282,43.7146,0.36,0.131984,-0.901383
9,10,101.763,69.7545,0.22,6.07629,3.47545
9,11,48.7445,37.7939,0.26,0.140114,0.0692349
9,12,86.6098,25.8919,1.32,7.96098,0.789192
9,13,10.632,27.1906,0.99,0.563203,1.91906
9,14,5.50023,16.4255,1.15,-6.41577,-3.17024
9,15,37.8655,59.4803,0.99,1.98655,2.24803
9,16,21.6206,83.5741,0.11,-3.78859,5.86113
9,17,14.9617,60.8798,0.27,0.896167,1.78798
9,18,73.2453,38.5576,1.28,2.72453,1.25576
9,19,61.1523,22.4167,0.81,4.92262,-7.61553
